Rank,SmashTag,Wins,Losses,Win%,BankRoll Bills
1.0,Ginger,20,4,83.33,235.0
2.0,CLG. | SFAT,12,4,75.0,197.0
3.0,Revenge | Gahtzu,8,2,80.0,168.0
4.0,S2J,4,2,66.67,139.0
5.0,LSD,14,4,77.78,124.0
6.0,KoDoRiN,8,3,72.73,113.0
7.0,Fiction,14,4,77.78,104.0
8.0,Dom,14,6,70.0,99.0
9.0,bobby big ballz,13,6,68.42,73.0
10.0,cliché,12,7,63.16,67.0
11.0,GHQ | Zamu,10,5,66.67,65.0
12.0,Golden,8,3,72.73,63.0
13.0,SANS | Blues Clues,15,7,68.18,55.0
14.0,Chem,13,10,56.52,48.0
15.0,Captain G,12,10,54.55,47.0
16.0,DD,7,4,63.64,42.0
17.0,EP | Justus,14,9,60.87,34.0
18.0,Hulka,9,6,60.0,29.0
19.0,billybopeep,8,6,57.14,28.0
19.0,MIOM | Toph,8,5,61.54,28.0
19.0,306 | Polo,8,3,72.73,28.0
19.0,ABG | salami,8,5,61.54,28.0
23.0,Hunybear,12,9,57.14,17.0
24.0,Cock Lot | JEEPER,11,15,42.31,16.0
24.0,DarkGenex,11,10,52.38,16.0
26.0,Milo,10,10,50.0,15.0
27.0,Dawson,9,8,52.94,14.0
28.0,:3 | Marrgasm,7,3,70.0,12.0
28.0,W8ASec,7,7,50.0,12.0
28.0,ANTIFA CEO | Quiggles,11,15,42.31,12.0
31.0,306 | Amrak,6,4,60.0,11.0
31.0,2Framez,6,3,66.67,11.0
31.0,GST | Ryobeat,6,2,75.0,11.0
31.0,Musashi,6,5,54.55,11.0
31.0,Pipe,6,13,31.58,11.0
31.0,TheFormuoli,10,14,41.67,11.0
37.0,Thad <3,5,4,55.56,10.0
38.0,TG NBR | Panos,4,4,50.0,9.0
38.0,NOOT,4,3,57.14,9.0
40.0,Slump,7,12,36.84,8.0
40.0,OtES,7,12,36.84,8.0
40.0,RedX,7,10,41.18,8.0
43.0,jams,4,16,20.0,5.0
43.0,Vitro,4,6,40.0,5.0
43.0,DiscipleOfBorp,4,11,26.67,5.0
46.0,Theftz,3,6,33.33,4.0
47.0,Chewy,2,8,20.0,3.0
47.0,Alex18+,2,8,20.0,3.0
47.0,Miranda,2,4,33.33,3.0
50.0,radvillainy,1,11,8.33,2.0
50.0,Ringler,1,11,8.33,2.0
50.0,Fishpaste,1,8,11.11,2.0
50.0,Strazz,1,9,10.0,2.0
50.0,ericiscool.net,1,2,33.33,2.0
50.0,N8V,1,8,11.11,2.0
56.0,Blu-J,0,2,0.0,1.0
56.0,Afron,0,4,0.0,1.0
56.0,Pawn,0,17,0.0,1.0
56.0,Frost | JJK,0,4,0.0,1.0
56.0,CarltonDanks,0,5,0.0,1.0
